word,part_of_speech,meaning,example
ken,động từ,"bít lại, đệm thêm vào để làm cho kín những khe, những chỗ hở: ken lại bờ giậu * ken sơn vào mộng giường",ken lại bờ giậu * ken sơn vào mộng giường
ken,tính từ,"sát vào nhau, đến mức như không thấy một khe hở nào: cành và lá cây ken đặc * dòng người đông ken",cành và lá cây ken đặc * dòng người đông ken
kèn,danh từ,nhạc khí tạo tiếng nhạc bằng cách dùng hơi thổi làm rung các dăm hoặc làm rung cột không khí trong các ống: thổi kèn * cây kèn đồng,thổi kèn * cây kèn đồng
kèn,danh từ,"tổ sâu có hình ống, trẻ em thường lấy để làm kèn: kèn sâu",kèn sâu
kén chọn,động từ,"tìm chọn rất kĩ (nói khái quát): kén chọn người tài * ""Yêu nhau thì lấy được nhau, Sao còn kén chọn vàng thau làm gì."" (ca dao)","kén chọn người tài * ""Yêu nhau thì lấy được nhau, Sao còn kén chọn vàng thau làm gì."" (ca dao)"
kèn kẹt,tính từ,như kẹt (nhưng ý liên tiếp): nghiến răng kèn kẹt,nghiến răng kèn kẹt
ken két,tính từ,"từ mô phỏng tiếng hai vật cứng xiết mạnh vào nhau, nghe hơi chói và ghê tai: nghiến răng ken két",nghiến răng ken két
kèn trống,danh từ,"những loại nhạc khí như kèn, trống, v.v. thường dùng trong các dịp ma chay, đình đám (nói khái quát): sống dầu đèn chết kèn trống (tng)",sống dầu đèn chết kèn trống (tng)
kèn cựa,động từ,"ghen tức với người khác về địa vị, quyền lợi và thường tìm cách dìm họ để giành phần hơn cho mình: kèn cựa nhau về địa vị",kèn cựa nhau về địa vị
kẻo,kết từ,"từ biểu thị điều sắp nêu ra là cần tránh hoặc muốn tránh, bằng cách phải thực hiện điều vừa nói đến (nếu không thì sẽ gặp điều không hay): vào nhà đi kẻo gió * đi ngay kẻo muộn",vào nhà đi kẻo gió * đi ngay kẻo muộn
kéo,danh từ,"dụng cụ dùng để cắt gồm có hai lưỡi thép chéo nhau, gắn với nhau bằng một đinh chốt: dùng kéo để cắt vải",dùng kéo để cắt vải
kéo,động từ,"làm cho di chuyển hoặc làm cho căng thẳng ra, bằng tác động của một lực truyền qua một điểm nối: kéo chăn đắp cho con * ngựa kéo xe * kéo cờ trắng xin hàng",kéo chăn đắp cho con * ngựa kéo xe * kéo cờ trắng xin hàng
kéo,động từ,"di chuyển hoặc làm cho di chuyển với số lượng nhiều, nối tiếp nhau theo cùng một hướng: mây đen kéo đầy trời * mọi người kéo đến ngày một đông",mây đen kéo đầy trời * mọi người kéo đến ngày một đông
kéo,động từ,tập hợp nhau lại thành nhóm (thường để làm việc xấu): kéo bè kéo đảng,kéo bè kéo đảng
kéo,động từ,"làm cho phát ra tiếng nhạc hoặc tiếng báo hiệu, bằng động tác kéo hoặc giống như kéo: kéo đàn violon * kéo một hồi chuông báo động",kéo đàn violon * kéo một hồi chuông báo động
kéo,động từ,"làm cho thành vật có hình dáng nhất định (thường mảnh và dài), bằng động tác kéo hoặc giống như kéo: kéo sợi * kéo chiếc nhẫn vàng tây",kéo sợi * kéo chiếc nhẫn vàng tây
kéo,động từ,"(Khẩu ngữ) tác động đến, làm cho tăng cao lên hoặc hạ thấp xuống: giá đô tăng cũng kéo giá vàng tăng theo",giá đô tăng cũng kéo giá vàng tăng theo
kéo,động từ,hình thành và hiện ra nối tiếp nhau: vết thương đang kéo da non * mắt bị kéo màng,vết thương đang kéo da non * mắt bị kéo màng
kéo,động từ,"trải ra, diễn ra liên tục trên một khoảng không gian hay thời gian dài: pháo sáng kéo thành một vệt dài * cuộc họp kéo dài hơn dự kiến",pháo sáng kéo thành một vệt dài * cuộc họp kéo dài hơn dự kiến
keo bẩn,tính từ,"(khẩu ngữ) keo kiệt và xấu bụng một cách bẩn thỉu, đáng ghét: tính keo bẩn",tính keo bẩn
kẹo,danh từ,"đồ ăn ở dạng viên hoặc thỏi, làm bằng đường, mật, thường có thêm các chất béo, chất thơm: nấu kẹo * viên kẹo * kẹo lạc",nấu kẹo * viên kẹo * kẹo lạc
kéo bè kéo cánh,,"tập hợp lại với nhau thành bè cánh, gây mất đoàn kết: kéo bè kéo cánh để hại nhau",kéo bè kéo cánh để hại nhau
keo,danh từ,"chất dính dùng để dán, gắn, được pha chế hoặc được lấy từ nhựa cây: keo dán * keo da trâu * dính như keo",keo dán * keo da trâu * dính như keo
keo,động từ,"trở nên đặc và dính, hoặc quánh lại với nhau: nhựa cây đã keo lại",nhựa cây đã keo lại
keo,danh từ,lần tranh giành được thua bằng sức lực (thường nói trong đấu vật): vật nhau ba keo bất phân thắng bại * thua keo này bày keo khác (tng),vật nhau ba keo bất phân thắng bại * thua keo này bày keo khác (tng)
keo,tính từ,(Khẩu ngữ) keo kiệt (nói tắt): ông ta keo lắm!,ông ta keo lắm!
kẻng,danh từ,"vật bằng kim loại, dùng đánh ra tiếng để báo hiệu: đánh kẻng báo động",đánh kẻng báo động
kẻng,tính từ,"(khẩu ngữ) đẹp một cách bảnh bao, trau chuốt (thường nói về nam giới): kẻng trai",kẻng trai
kéo bộ,động từ,"(khẩu ngữ, hiếm) như cuốc bộ: nhỡ xe nên phải kéo bộ gần chục cây số",nhỡ xe nên phải kéo bộ gần chục cây số
kéo co,danh từ,"trò chơi tập thể, người chơi chia làm hai tốp, mỗi tốp nắm một đầu sợi dây, bên nào kéo được về phía mình là thắng: chơi kéo co * thi kéo co",chơi kéo co * thi kéo co
kèo nhèo,động từ,"(khẩu ngữ) nói điều mình không vừa ý một cách dai dẳng, khiến cho người nghe cảm thấy khó chịu, bực bội: chỉ có thế mà cứ kèo nhèo mãi!",chỉ có thế mà cứ kèo nhèo mãi!
kéo gỗ,động từ,"(khẩu ngữ) ngáy to, vang và đều trong khi ngủ: chưa đặt lưng đã kéo gỗ * thằng cha kéo gỗ suốt đêm",chưa đặt lưng đã kéo gỗ * thằng cha kéo gỗ suốt đêm
kẻo mà,kết từ,"kẻo không khỏi xảy ra điều gì đó đang muốn tránh: ""Chàng buông vạt áo em ra, Để em đi chợ kẻo mà chợ trưa."" (ca dao)","""Chàng buông vạt áo em ra, Để em đi chợ kẻo mà chợ trưa."" (ca dao)"
kèo nài,động từ,(phương ngữ) kì kèo và nài nỉ: kèo nài cho bằng được mới thôi,kèo nài cho bằng được mới thôi
kèo nèo,danh từ,(phương ngữ) cù nèo: vác kèo nèo đi chọc xoài,vác kèo nèo đi chọc xoài
kèo nèo,động từ,(khẩu ngữ) nài nỉ một cách dai dẳng cho kì đạt được điều mình muốn: tính hay kèo nèo * kèo nèo mãi cũng không được,tính hay kèo nèo * kèo nèo mãi cũng không được
kéo lại,động từ,"(khẩu ngữ) bù vào chỗ thiếu hụt, khiếm khuyết: khuôn mặt thì không đẹp nhưng được cặp mắt kéo lại",khuôn mặt thì không đẹp nhưng được cặp mắt kéo lại
keo kiệt,tính từ,"hà tiện tới mức quá quắt, chỉ biết bo bo giữ của: con người keo kiệt",con người keo kiệt
kẻo rồi,kết từ,"kẻo có thể xảy ra điều gì đó không hay: cố gắng mà học, kẻo rồi lại thua chúng thua bạn","cố gắng mà học, kẻo rồi lại thua chúng thua bạn"
keo sơn,danh từ,"chất kết dính, như keo và sơn; dùng để ví sự gắn bó khăng khít trong quan hệ với nhau: ""Trăm năm kết sợi chỉ mành, ái ân gắn bó chung tình keo sơn."" (ca dao)","""Trăm năm kết sợi chỉ mành, ái ân gắn bó chung tình keo sơn."" (ca dao)"
kẽo kẹt,động từ,"từ mô phỏng những tiếng trầm bổng, dài ngắn vang lên đều đều như tiếng của hai vật bằng tre, gỗ cọ xiết vào nhau: tiếng võng kẽo kẹt",tiếng võng kẽo kẹt
kéo theo,động từ,làm cho xảy ra tiếp theo ngay sau đó như một điều tất yếu: kinh tế phát triển sẽ kéo theo sự phát triển các lĩnh vực khác của xã hội,kinh tế phát triển sẽ kéo theo sự phát triển các lĩnh vực khác của xã hội
kẻo nữa,kết từ,"kẻo sẽ xảy ra điều gì đó không thuận lợi, không muốn thế: đi đi, kẻo nữa không kịp","đi đi, kẻo nữa không kịp"
kẹp,động từ,giữ chặt lấy ở giữa bằng cách ép mạnh lại từ hai phía: kẹp quyển vở vào nách * kẹp vào giữa hai ngón tay,kẹp quyển vở vào nách * kẹp vào giữa hai ngón tay
kẹp,động từ,(hiếm) như kẹt: súng kẹp đạn,súng kẹp đạn
kẹp,danh từ,đồ dùng gồm hai thanh hoặc hai mảnh cứng để kẹp và giữ chặt đồ vật: kẹp tóc * kẹp tài liệu * cái kẹp quần áo,kẹp tóc * kẹp tài liệu * cái kẹp quần áo
kẹt,động từ,"bị giữ lại, mắc lại, không đi qua, đi ra được: bị kẹt xe * kẹt giữa dòng người",bị kẹt xe * kẹt giữa dòng người
kẹt,động từ,"(Nam) gặp khó khăn, khó xử, khó giải quyết: không mượn được tiền thì kẹt lắm * kẹt tiền (= thiếu tiền)",không mượn được tiền thì kẹt lắm * kẹt tiền
kẹt,tính từ,từ mô phỏng tiếng phát ra nghe đanh như tiếng của hai vật cứng cọ xát mạnh vào nhau: có tiếng kẹt cửa,có tiếng kẹt cửa
keo xỉn,tính từ,(khẩu ngữ) keo kiệt và bủn xỉn (nói khái quát): quen thói keo xỉn,quen thói keo xỉn
két,danh từ,"tủ sắt kiên cố, chuyên dùng để cất giữ tiền của: két bạc * thụt két",két bạc * thụt két
két,danh từ,"hòm gỗ hoặc nhựa, thường có đai, dùng để chứa hàng hoá khi chuyên chở: két đạn * mua một két bia",két đạn * mua một két bia
két,danh từ,"thùng lớn hoặc bể để chứa nước, xăng dầu, thường được đặt trên đầu xe hay trên tầng cao của các ngôi nhà: két nước * két xăng",két nước * két xăng
két,tính từ,khô quánh và dính bết vào thành một lớp khó tẩy rửa: máu khô két lại * nhựa cây bám két vào quần áo,máu khô két lại * nhựa cây bám két vào quần áo
kép,danh từ,"(cũ) nghệ nhân nam trong các ngành kịch hát dân tộc: kép hát * ""Chào rồi lại hỏi mau mau, Kép kia đã sánh với đào nào chưa?"" (ca dao)","kép hát * ""Chào rồi lại hỏi mau mau, Kép kia đã sánh với đào nào chưa?"" (ca dao)"
kép,tính từ,"có cấu tạo gồm hai thành phần đi liền nhau: xà kép * dấu ngoặc kép * áo đơn, áo kép","xà kép * dấu ngoặc kép * áo đơn, áo kép"
kê,động từ,đệm thêm một vật cứng ở dưới để cho vật được đặt ở trên khỏi lệch hay cao lên: kê đầu lên quyển sách * kê chân bàn cho cao thêm,kê đầu lên quyển sách * kê chân bàn cho cao thêm
kê,động từ,đặt đồ đạc trong nhà vào vị trí cố định: giường kê sát tường * giữa nhà kê một chiếc bàn,giường kê sát tường * giữa nhà kê một chiếc bàn
kê,động từ,(khẩu ngữ) nói đệm thêm vào để chế giễu hay đùa vui: thỉnh thoảng lại kê vào một câu nghe rất khó chịu,thỉnh thoảng lại kê vào một câu nghe rất khó chịu
kê,động từ,"viết ra theo thứ tự lần lượt từng tên, từng món để ghi nhớ hoặc thông báo: kê đơn thuốc * kê danh sách khách mời",kê đơn thuốc * kê danh sách khách mời
kể,động từ,nói lại một cách có đầu có đuôi cho người khác nghe: kể lại những điều mắt thấy tai nghe * nghe bà kể chuyện đời xưa,kể lại những điều mắt thấy tai nghe * nghe bà kể chuyện đời xưa
kể,động từ,nói ra lần lượt từng điều để cho người khác biết rõ: kể công * kể tên từng người,kể công * kể tên từng người
kể,động từ,"tính đến, để ý đến, coi là có ý nghĩa, là đáng quan tâm: làm việc không kể ngày đêm * tình yêu không kể sang hèn",làm việc không kể ngày đêm * tình yêu không kể sang hèn
kể,động từ,"tính ra: đông quá, kể phải đến cả nghìn người * mình đến đây kể cũng hơn ba năm rồi","đông quá, kể phải đến cả nghìn người * mình đến đây kể cũng hơn ba năm rồi"
kể,động từ,"coi là, coi như là: làm được như vậy, kể cũng là giỏi * việc này kể như xong","làm được như vậy, kể cũng là giỏi * việc này kể như xong"
kể,động từ,hay tr từ biểu thị ý khẳng định về điều nghĩ thấy có lẽ đúng như thế: cô ta kể cũng đẹp * nó nói kể cũng có lí,cô ta kể cũng đẹp * nó nói kể cũng có lí
kề,động từ,"ở vào hoặc làm cho ở vào vị trí rất gần, không còn hoặc coi như không còn khoảng cách nữa: ngồi kề bên nhau * gươm kề cổ * kề vai sát cánh",ngồi kề bên nhau * gươm kề cổ * kề vai sát cánh
kế,danh từ,"cách khôn khéo nghĩ ra để giải quyết, ứng phó với một vấn đề hay tình huống khó khăn nào đó: tìm kế hoãn binh * tính kế sinh nhai * trăm phương ngàn kế",tìm kế hoãn binh * tính kế sinh nhai * trăm phương ngàn kế
kế,động từ,"tiếp theo, nối liền theo ngay sau khi một hoạt động, một quá trình khác vừa kết thúc: mùa nọ kế mùa kia * sáng dậy phải tập thể dục, kế đó mới làm gì thì làm","mùa nọ kế mùa kia * sáng dậy phải tập thể dục, kế đó mới làm gì thì làm"
kế,tính từ,ở vị trí liền ngay bên cạnh: người ngồi kế bên * nhà ở kế đường tàu,người ngồi kế bên * nhà ở kế đường tàu
kê biên,động từ,kê danh mục tài sản có liên quan đến hành vi tội phạm để chờ xử lí theo pháp luật: ngôi nhà bị kê biên * niêm phong và kê biên tang vật,ngôi nhà bị kê biên * niêm phong và kê biên tang vật
kệ,danh từ,giá nhỏ để sách hoặc đồ dùng: kệ sách * kệ giầy dép,kệ sách * kệ giầy dép
kệ,động từ,"(khẩu ngữ) để cho tuỳ ý, không tác động đến, coi như không biết gì đến: nó muốn làm gì, kệ nó * mưa thì kệ mưa, cứ đi","nó muốn làm gì, kệ nó * mưa thì kệ mưa, cứ đi"
kế cận,tính từ,ở gần ngay bên cạnh: nhà kế cận * miền kế cận,nhà kế cận * miền kế cận
kế cận,tính từ,"ở vị trí liền ngay sau lớp người trước, có thể sẽ thay thế lớp người trước: đội ngũ cán bộ kế cận * tìm người kế cận",đội ngũ cán bộ kế cận * tìm người kế cận
kề cận,tính từ,"rất gần, ở ngay sát bên cạnh: kề cận với hiểm nguy * ngồi kề cận bên nhau",kề cận với hiểm nguy * ngồi kề cận bên nhau
kể cả,,"tính gộp vào: hai chúng tôi, kể cả anh nữa là ba người","hai chúng tôi, kể cả anh nữa là ba người"
kể cả,,"tổ hợp biểu thị cái, điều sắp nêu ra cũng không phải là ngoại lệ; không loại trừ: thế nào tôi cũng đến, kể cả trời mưa","thế nào tôi cũng đến, kể cả trời mưa"
kề cà,động từ,"tỏ ra rề rà, chậm chạp, để mất nhiều thời gian vào những việc không quan trọng, không cần thiết: ngồi uống rượu kề cà * giọng nói kề cà",ngồi uống rượu kề cà * giọng nói kề cà
kế chân,động từ,"(khẩu ngữ) thay người khác ở một cương vị, chức vụ nào đó: trưởng phòng kế chân giám đốc",trưởng phòng kế chân giám đốc
kế hoạch hoá,động từ,làm cho phát triển một cách có kế hoạch (thường là trên quy mô lớn): thực hiện kế hoạch hoá gia đình,thực hiện kế hoạch hoá gia đình
kê khai,động từ,"khai rõ từng khoản một cách đầy đủ theo yêu cầu, theo quy định nào đó: kê khai hàng hoá để làm thủ tục nộp thuế * kê khai tài sản",kê khai hàng hoá để làm thủ tục nộp thuế * kê khai tài sản
kế hoạch,danh từ,"toàn bộ những điều vạch ra một cách có hệ thống và cụ thể về cách thức, trình tự, thời hạn tiến hành những công việc dự định làm trong một thời gian nhất định, với mục tiêu nhất định: bàn kế hoạch đầu tư * sản xuất vượt kế hoạch * lên kế hoạch tác chiến",bàn kế hoạch đầu tư * sản xuất vượt kế hoạch * lên kế hoạch tác chiến
kê kích,động từ,(hiếm) kê khai (khoản nào đó) cao hơn so với thực tế: kê kích chi phí để trốn thuế,kê kích chi phí để trốn thuế
kê kích,động từ,"(khẩu ngữ) nói chêm vào để đùa vui, chế giễu hoặc chọc tức: kê kích lẫn nhau",kê kích lẫn nhau
kế nhiệm,động từ,"làm thay chức vụ, cương vị của người trước đó: bàn giao công tác cho người kế nhiệm * giám đốc kế nhiệm",bàn giao công tác cho người kế nhiệm * giám đốc kế nhiệm
kế tiếp,động từ,"tiếp theo, nối liền theo: thế hệ kế tiếp * đồi núi trùng điệp, kế tiếp nhau","thế hệ kế tiếp * đồi núi trùng điệp, kế tiếp nhau"
kế nghiệp,động từ,tiếp tục sự nghiệp: tìm người kế nghiệp xứng đáng,tìm người kế nghiệp xứng đáng
kể ra,,(khẩu ngữ) tổ hợp biểu thị ý khẳng định về điều qua suy nghĩ thấy có lẽ đúng như thế: bài đó kể ra cũng khó * kể ra thì mình nên giúp nó,bài đó kể ra cũng khó * kể ra thì mình nên giúp nó
kế sách,danh từ,"phương sách, mưu kế lớn: bàn kế sách để chống giặc",bàn kế sách để chống giặc
kề miệng lỗ,,(khẩu ngữ) như gần đất xa trời: sắp kề miệng lỗ rồi còn chơi trống bỏi,sắp kề miệng lỗ rồi còn chơi trống bỏi
kệ thây,động từ,"(thông tục) như mặc kệ (thường dùng với hàm ý coi khinh): nó thích làm gì, kệ thây nó!","nó thích làm gì, kệ thây nó!"
kế thừa,động từ,"thừa hưởng, giữ gìn và tiếp tục phát huy (cái có giá trị tinh thần): kế thừa cơ nghiệp * kế thừa và phát huy truyền thống tốt đẹp của cha ông",kế thừa cơ nghiệp * kế thừa và phát huy truyền thống tốt đẹp của cha ông
kế toán,động từ,"tính toán và ghi chép tình hình biến động tài sản, tình hình thu chi trong một đơn vị, tổ chức: tuyển kế toán",tuyển kế toán
kế toán,danh từ,người chuyên làm công tác kế toán: công ti đang cần tuyển một kế toán mới,công ti đang cần tuyển một kế toán mới
kể lể,động từ,"kể lại chuyện của mình hoặc có liên quan đến mình một cách tỉ mỉ, dài dòng để mong có sự chú ý, sự cảm thông: kể lể nguồn cơn * kể lể dài dòng",kể lể nguồn cơn * kể lể dài dòng
kế vị,động từ,"nối ngôi vua: vua Quang Trung mất, con cả là Quang Toản lên kế vị","vua Quang Trung mất, con cả là Quang Toản lên kế vị"
kếch,tính từ,"(khẩu ngữ) to, lớn quá cỡ: ăn no kếch bụng",ăn no kếch bụng
kế tục,động từ,"làm tiếp, thực hiện tiếp phần công việc người trước đã làm: kế tục sự nghiệp cách mạng của Hồ Chủ tịch * người kế tục",kế tục sự nghiệp cách mạng của Hồ Chủ tịch * người kế tục
kệch,động từ,(hiếm) như cạch: kệch đến già,kệch đến già
kệch,tính từ,"có vẻ thô, trông không hợp mắt: chiếc va li to kệch",chiếc va li to kệch
kệ xác,động từ,"(thông tục) như kệ thây: kệ xác mày, muốn đi đâu thì đi!","kệ xác mày, muốn đi đâu thì đi!"
kếch xù,tính từ,(khẩu ngữ) to lớn quá mức thường: chiếc áo bông kếch xù * được thừa hưởng một gia tài kếch xù,chiếc áo bông kếch xù * được thừa hưởng một gia tài kếch xù
kệch cỡm,tính từ,"(cách ăn mặc, nói năng) thô, không phù hợp đến mức khó coi, khó nghe: lối ăn mặc kệch cỡm * câu chào hỏi kệch cỡm",lối ăn mặc kệch cỡm * câu chào hỏi kệch cỡm
kềm,danh từ,dụng cụ bằng kim loại có hai mỏ và hai càng bắt chéo để kẹp chặt: kìm điện * dùng kìm để nhổ đinh,kìm điện * dùng kìm để nhổ đinh
kềm,động từ,"tác động nhằm làm cho tốc độ vận động chậm lại, cường độ hoạt động yếu đi, hoặc làm cho phải ngừng lại, không diễn ra: kìm ngựa cho đi chậm lại * không kìm được cơn xúc động",kìm ngựa cho đi chậm lại * không kìm được cơn xúc động
kên,động từ,(phương ngữ) đan: kên tấm phên,kên tấm phên
kền,danh từ,"tên gọi thông thường của nickel: chiếc xe mới sơn, nước kền còn bóng nhoáng","chiếc xe mới sơn, nước kền còn bóng nhoáng"
kênh,danh từ,"công trình dẫn nước được đào, đắp trên mặt đất, phục vụ cho thuỷ lợi, giao thông: con kênh * dòng kênh",con kênh * dòng kênh
kênh,danh từ,đường thông tin liên lạc chiếm một khoảng tần số nhất định.,tạo thêm nhiều kênh để huy động vốn
kênh,động từ,"nâng một bên, một đầu vật nặng cho cao lên một chút: kênh một đầu tủ lên để lùa chổi vào quét",kênh một đầu tủ lên để lùa chổi vào quét
kênh,tính từ,"có vị trí lệch đi, không cân, không ăn khớp: nắp vung đậy bị kênh * tủ kê bị kênh",nắp vung đậy bị kênh * tủ kê bị kênh
kễnh,tính từ,(thông tục) to kềnh: ăn no kễnh bụng,ăn no kễnh bụng
kệnh,tính từ,"có một phần nổi cao lên, gây vướng víu, do có vật gì bên trong hoặc ở dưới: có cái gì kệnh lên dưới gối",có cái gì kệnh lên dưới gối
kềnh,tính từ,(khẩu ngữ) to hơn rất nhiều so với đồng loại: tôm kềnh * con kiến kềnh * chấy kềnh,tôm kềnh * con kiến kềnh * chấy kềnh
kềnh,tính từ,"hay p (to) quá cỡ, khó coi: chữ viết to kềnh * no kềnh",chữ viết to kềnh * no kềnh
kềnh,động từ,(khẩu ngữ) nằm thẳng ra hay lật ngửa ra: nằm kềnh ra giường * ngã kềnh ra đất * đổ kềnh,nằm kềnh ra giường * ngã kềnh ra đất * đổ kềnh
kềnh kệch,tính từ,"có vẻ bề ngoài trông hơi thô, không thanh, không nhã: đôi bàn tay to kềnh kệch",đôi bàn tay to kềnh kệch
kênh rạch,danh từ,kênh và rạch (nói khái quát): hệ thống kênh rạch chằng chịt,hệ thống kênh rạch chằng chịt
kênh truyền hình,danh từ,dải tần số radio dùng để phát các chương trình truyền hình: kênh truyền hình địa phương,kênh truyền hình địa phương
kềnh kệnh,tính từ,như kệnh (nhưng ý mức độ ít): chiếc cặp kềnh kệnh bên sườn,chiếc cặp kềnh kệnh bên sườn
kênh kiệu,động từ,làm cao để tỏ vẻ hơn người: thái độ kênh kiệu * tỏ vẻ kênh kiệu,thái độ kênh kiệu * tỏ vẻ kênh kiệu
kềnh càng,tính từ,"choán nhiều chỗ, không gọn, làm cản trở sự hoạt động di chuyển: đồ đạc để kềnh càng * bụng chửa kềnh càng",đồ đạc để kềnh càng * bụng chửa kềnh càng
kết,động từ,"đan, bện: kết thừng * cổng chào kết bằng lá dừa * kết tóc xe tơ (tng)",kết thừng * cổng chào kết bằng lá dừa * kết tóc xe tơ (tng)
kết,động từ,tập hợp lại và làm cho gắn chặt với nhau thành một khối: chặt tre kết bè * kết bè lại với nhau,chặt tre kết bè * kết bè lại với nhau
kết,động từ,gắn bó với nhau bằng quan hệ tình cảm thân thiết: kết bạn * kết tình anh em,kết bạn * kết tình anh em
kết,động từ,dính bết vào nhau: nhựa cây kết đặc lại,nhựa cây kết đặc lại
kết,động từ,"phát triển thành quả, củ, từ hoa hay rễ: đơm hoa kết trái",đơm hoa kết trái
kết,động từ,"(phần mộ tổ tiên) được đặt nơi mạch đất tốt (theo thuật phong thuỷ), nên đưa lại nhiều may mắn cho con cháu, theo quan niệm dân gian: ngôi mộ kết",ngôi mộ kết
kết,động từ,(Khẩu ngữ) kết thúc hoặc kết luận (nói tắt): phần kết bài * viết dở đoạn kết,phần kết bài * viết dở đoạn kết
kết,động từ,"(quân bài) làm thành đôi hoặc bộ ba, thắng ở cuối ván bài (trong một số trò chơi đánh bài): bài kết * kết tốt đen",bài kết * kết tốt đen
kêpi,danh từ,"mũ vải có viền cứng, đáy bằng và rộng, phía trước có lưỡi trai ngắn, thường được trang bị đi kèm với đồng phục cho các lực lượng vũ trang như công an, quân đội và một số lực lượng khác: mũ kêpi",mũ kêpi
kết cấu,danh từ,"tập hợp các cấu kiện riêng rẽ của công trình xây dựng hay máy móc kết hợp lại, làm thành một thể có chức năng thống nhất: kết cấu bê tông * kết cấu giàn khoan",kết cấu bê tông * kết cấu giàn khoan
kết cấu,danh từ,"sự phân chia và bố trí các phần, các chương mục theo một hệ thống nhất định để thể hiện nội dung của tác phẩm: bài viết có kết cấu chặt chẽ",bài viết có kết cấu chặt chẽ
kết án,động từ,(toà án) tuyên bố về tội trạng và hình phạt: bị kết án chung thân vì tội tham nhũng,bị kết án chung thân vì tội tham nhũng
kết án,động từ,"lên án, nói rõ công khai về tội lỗi hoặc hành vi sai trái của ai đó: kết án thói hư tật xấu",kết án thói hư tật xấu
kết cuộc,danh từ,"(cũ, hiếm) như kết cục: một kết cuộc bi thảm",một kết cuộc bi thảm
kết cục,danh từ,kết quả cuối cùng của một sự việc: kết cục là xôi hỏng bỏng không * kết cục của một câu chuyện,kết cục là xôi hỏng bỏng không * kết cục của một câu chuyện
kết bạn,động từ,gắn bó với nhau thành bạn thân: hai người kết bạn với nhau đã lâu,hai người kết bạn với nhau đã lâu
kết bạn,động từ,(cũ) như kết duyên: trai gái thời nay được tự do kết bạn với nhau,trai gái thời nay được tự do kết bạn với nhau
kết dính,động từ,"(hiện tượng) hút lẫn nhau giữa các hạt của cùng một chất, làm cho các hạt ấy kết thành một vật thể: chất kết dính * khả năng kết dính của xi măng",chất kết dính * khả năng kết dính của xi măng
kết cỏ ngậm vành,,"(cũ, văn chương) nguyện báo đáp ơn sâu: ""Dám nhờ cốt nhục tử sinh, Còn nhiều kết cỏ ngậm vành về sau."" (TKiều)","""Dám nhờ cốt nhục tử sinh, Còn nhiều kết cỏ ngậm vành về sau."" (TKiều)"
kết duyên,động từ,(trang trọng) lấy nhau làm vợ chồng: kết duyên vợ chồng,kết duyên vợ chồng
kết duyên châu trần,,"(cũ, văn chương) như kết duyên: ""Chợ Dóng một tháng sáu phiên, Bắt cô hàng xén kết duyên Châu Trần."" (ca dao)","""Chợ Dóng một tháng sáu phiên, Bắt cô hàng xén kết duyên Châu Trần."" (ca dao)"
kết đoàn,động từ,(cũ) như đoàn kết: bài ca kết đoàn,bài ca kết đoàn
kết giao,động từ,"(cũ, trang trọng) như kết bạn: kết giao với bọn người xấu",kết giao với bọn người xấu
kết luận,động từ,đưa ra ý cuối cùng được rút ra từ những sự kiện hay lập luận nhất định: có đủ bằng chứng mới có thể kết luận * không nên kết luận vội vàng,có đủ bằng chứng mới có thể kết luận * không nên kết luận vội vàng
kết luận,danh từ,ý kiến được xem là kết quả của một lập luận: chưa có kết luận rõ ràng,chưa có kết luận rõ ràng
kết luận,danh từ,phần kết thúc của một văn bản: bài tập làm văn còn thiếu phần kết luận,bài tập làm văn còn thiếu phần kết luận
kết hôn,động từ,chính thức lấy nhau làm vợ chồng: giấy đăng kí kết hôn * làm lễ kết hôn,giấy đăng kí kết hôn * làm lễ kết hôn
kết hợp,động từ,"gắn với nhau để bổ sung, hỗ trợ cho nhau: học phải kết hợp với hành * kết hợp đấu tranh chính trị với đấu tranh vũ trang",học phải kết hợp với hành * kết hợp đấu tranh chính trị với đấu tranh vũ trang
kết hợp,động từ,"làm thêm một việc gì nhân tiện khi đang làm việc chính: đi công tác, kết hợp về thăm bạn cũ * việc này để khi nào có cơ hội thì kết hợp làm luôn","đi công tác, kết hợp về thăm bạn cũ * việc này để khi nào có cơ hội thì kết hợp làm luôn"
kết mạc,danh từ,màng nhầy phủ lên giác mạc nối cầu mắt với mí mắt đồng thời tạo thành mặt trong của hai mí mắt: viêm kết mạc,viêm kết mạc
kết nạp,động từ,"chính thức công nhận là thành viên của một tổ chức, một đoàn thể: kết nạp đội viên * lễ kết nạp đoàn viên mới",kết nạp đội viên * lễ kết nạp đoàn viên mới
kết nghĩa,động từ,"công nhận và vun đắp mối quan hệ tình nghĩa thân thiết, gắn bó giữa hai bên: chị em kết nghĩa * ""Bao giờ cho đá mọc mầm, Thời ta kết nghĩa tri âm với mình."" (ca dao)","chị em kết nghĩa * ""Bao giờ cho đá mọc mầm, Thời ta kết nghĩa tri âm với mình."" (ca dao)"
kết nối,động từ,"làm cho các phần đang tách rời nối liền lại, gắn liền lại với nhau: kết nối Internet * kết nối thông tin * kết nối tình anh em",kết nối Internet * kết nối thông tin * kết nối tình anh em
kết quả,danh từ,"cái đạt được, thu được trong một công việc hoặc một quá trình tiến triển của sự vật: kết quả học tập * việc làm không có kết quả",kết quả học tập * việc làm không có kết quả
